date_range,campaign_name,campaign_id,ad_group_name,ad_group_id,target_value,target_match_type,search_term,budget_currency,impressions,clicks,ctr,cpc,total_cost,purchases,sales,units_sold,roas,cost_per_purchase,purchase_rate,date,acos,conversion_rate
"Nov 09, 2025 - Nov 27, 2025",Auto Campaign 1 Signal Capture,468170906203317,Ad Group - Signal Capture,297953927298564,loose-match,TARGETING_EXPRESSION_PREDEFINED,mariguanol extra strength,USD,2,1,0.5,0.54,0.54,0,0.0,0,0.0,0.0,0.0,2025-11-09,0.0,0.0
"Sep 08, 2025 - Jan 18, 2026",BROAD MATCH CAMPAIGN,306896079483800,Broad Keyword,284907010614606,hair growth oil,BROAD,jamaican black castor oil for hair growth,USD,105,1,0.009523809523809525,0.37,0.37,0,0.0,0,0.0,0.0,0.0,2025-09-08,0.0,0.0
"Sep 14, 2025 - Sep 28, 2025",PRODUCT TARGETING EXACT CAMPAIGN,295732523762026,ASIN Exact targeting,517907737835689,"asin-expanded=""B0F7M35JY3""",TARGETING_EXPRESSION,B0CFYS7M4L,USD,24,1,0.041666666666666664,0.55,0.55,0,0.0,0,0.0,0.0,0.0,2025-09-14,0.0,0.0
"Dec 11, 2025 - Dec 12, 2025",BROAD MATCH CAMPAIGN,306896079483800,Broad Keyword,284907010614606,batana oil hair,BROAD,gipsophila batana oil shampoo for hair growth,USD,13,1,0.07692307692307693,1.5,1.5,0,0.0,0,0.0,0.0,0.0,2025-12-11,0.0,0.0
"Nov 22, 2025 - Dec 10, 2025",BROAD MATCH CAMPAIGN,306896079483800,Broad Keyword,284907010614606,hair growth,BROAD,henna hair growth,USD,30,1,0.03333333333333333,1.01,1.01,0,0.0,0,0.0,0.0,0.0,2025-11-22,0.0,0.0
"Sep 02, 2025 - Sep 25, 2025",Auto Campaign 1 Signal Capture,468170906203317,Ad Group - Signal Capture,297953927298564,substitutes,TARGETING_EXPRESSION_PREDEFINED,B0FK2W9PP7,USD,165,2,0.012121212121212121,0.45,0.9,0,0.0,0,0.0,0.0,0.0,2025-09-02,0.0,0.0
"Dec 10, 2025 - Dec 20, 2025",BROAD MATCH CAMPAIGN,306896079483800,Broad Keyword,284907010614606,batana oil hair,BROAD,raw batana hair oil,USD,22,1,0.045454545454545456,2.7,2.7,0,0.0,0,0.0,0.0,0.0,2025-12-10,0.0,0.0
"Jul 21, 2025 - Oct 24, 2025",Auto Campaign 1 Signal Capture,468170906203317,Ad Group - Signal Capture,297953927298564,close-match,TARGETING_EXPRESSION_PREDEFINED,natural moisturizer for hair,USD,2,1,0.5,0.3,0.3,0,0.0,0,0.0,0.0,0.0,2025-07-21,0.0,0.0
"Sep 12, 2025 - Jan 02, 2026",BROAD MATCH CAMPAIGN,306896079483800,Broad Keyword,284907010614606,hair growth oil,BROAD,4c hair growth oil,USD,53,1,0.018867924528301886,1.12,1.12,0,0.0,0,0.0,0.0,0.0,2025-09-12,0.0,0.0
"Mar 10, 2026 - Mar 10, 2026",Batana Hair oil pharase Manual,292247191707127,Phrase Keywords,465120102858213,batana,PHRASE,organic unrefined batana oil,USD,1,1,1.0,0.75,0.75,0,0.0,0,0.0,0.0,0.0,2026-03-10,0.0,0.0
"Sep 02, 2025 - Mar 06, 2026",Auto Campaign 1 Signal Capture,468170906203317,Ad Group - Signal Capture,297953927298564,substitutes,TARGETING_EXPRESSION_PREDEFINED,B0FH4YZJZ4,USD,318,1,0.0031446540880503146,0.5,0.5,0,0.0,0,0.0,0.0,0.0,2025-09-02,0.0,0.0
"Jan 17, 2026 - Jan 17, 2026",Auto Campaign 1 Signal Capture,468170906203317,Ad Group - Signal Capture,297953927298564,substitutes,TARGETING_EXPRESSION_PREDEFINED,B07FRB8D38,USD,1,1,1.0,0.22,0.22,0,0.0,0,0.0,0.0,0.0,2026-01-17,0.0,0.0
"Sep 08, 2025 - Sep 24, 2025",BROAD MATCH CAMPAIGN,306896079483800,Broad Keyword,284907010614606,hair growth oil,BROAD,yacemira batana oil for hair growth,USD,39,1,0.02564102564102564,1.04,1.04,0,0.0,0,0.0,0.0,0.0,2025-09-08,0.0,0.0
"Feb 03, 2026 - Feb 07, 2026",Batana Oil Phrase Match,212832079341322,Batana Oil Phrase Match,450560731451216,"keyword-group=""Keywords related to your product category""",TARGETING_EXPRESSION,batana oil organic,USD,58,1,0.017241379310344827,1.06,1.06,1,15.5,1,14.62264,1.06,0.0,2026-02-03,0.06838709677419355,1.0
"Oct 19, 2025 - Oct 19, 2025",Batana Hair oil pharase Manual,292247191707127,Phrase Keywords,465120102858213,hair moisturizer,PHRASE,giovanni hair moisturizer,USD,1,1,1.0,0.5,0.5,0,0.0,0,0.0,0.0,0.0,2025-10-19,0.0,0.0
"Jan 23, 2026 - Jan 25, 2026",Batana Oil Exact Ranking,116719674392449,High Intent,417102371297812,"keyword-group=""Keywords related to your product category""",TARGETING_EXPRESSION,alma hair oil,USD,425,1,0.002352941176470588,2.04,2.04,0,0.0,0,0.0,0.0,0.0,2026-01-23,0.0,0.0
"Mar 16, 2026 - Mar 16, 2026",Auto Campaign 1 Signal Capture,468170906203317,Ad Group - Signal Capture,297953927298564,close-match,TARGETING_EXPRESSION_PREDEFINED,organic hair mask for health,USD,1,1,1.0,0.9,0.9,0,0.0,0,0.0,0.0,0.0,2026-03-16,0.0,0.0
"Oct 23, 2025 - Jan 11, 2026",Batana Hair oil pharase Manual,292247191707127,Phrase Keywords,465120102858213,hair moisturizer,PHRASE,daily hair moisturizer for natural hair,USD,4,1,0.25,0.55,0.55,0,0.0,0,0.0,0.0,0.0,2025-10-23,0.0,0.0
"Sep 07, 2025 - Mar 15, 2026",PRODUCT TARGETING EXACT CAMPAIGN,295732523762026,ASIN Exact targeting,517907737835689,"asin-expanded=""B0DCX7628T""",TARGETING_EXPRESSION,B0CSD5K3L9,USD,26,1,0.038461538461538464,0.84,0.84,0,0.0,0,0.0,0.0,0.0,2025-09-07,0.0,0.0
"Jul 17, 2025 - Mar 02, 2026",Auto Campaign 1 Signal Capture,468170906203317,Ad Group - Signal Capture,297953927298564,close-match,TARGETING_EXPRESSION_PREDEFINED,100% batana oil raw,USD,4,1,0.25,0.8,0.8,0,0.0,0,0.0,0.0,0.0,2025-07-17,0.0,0.0
"Jul 19, 2025 - Mar 04, 2026",Auto Campaign 1 Signal Capture,468170906203317,Ad Group - Signal Capture,297953927298564,close-match,TARGETING_EXPRESSION_PREDEFINED,hair treatment for natural hair,USD,2,1,0.5,0.8,0.8,0,0.0,0,0.0,0.0,0.0,2025-07-19,0.0,0.0
"Nov 22, 2025 - Dec 21, 2025",BROAD MATCH CAMPAIGN,306896079483800,Broad Keyword,284907010614606,hair growth,BROAD,temple hair growth,USD,11,1,0.09090909090909091,1.05,1.05,0,0.0,0,0.0,0.0,0.0,2025-11-22,0.0,0.0
"Dec 06, 2025 - Dec 06, 2025",Auto Campaign 1 Signal Capture,468170906203317,Ad Group - Signal Capture,297953927298564,loose-match,TARGETING_EXPRESSION_PREDEFINED,edge control regrowth,USD,2,1,0.5,0.5,0.5,0,0.0,0,0.0,0.0,0.0,2025-12-06,0.0,0.0
"Sep 25, 2025 - Nov 13, 2025",Auto Campaign 1 Signal Capture,468170906203317,Ad Group - Signal Capture,297953927298564,loose-match,TARGETING_EXPRESSION_PREDEFINED,all natural edge control,USD,2,1,0.5,0.55,0.55,0,0.0,0,0.0,0.0,0.0,2025-09-25,0.0,0.0
"Sep 05, 2025 - Sep 05, 2025",BROAD MATCH CAMPAIGN,306896079483800,Broad Keyword,284907010614606,batana oil hair,BROAD,amazon batana hair oil,USD,1,1,1.0,1.58,1.58,1,9.99,1,6.32279,1.58,0.0,2025-09-05,0.15815815815815817,1.0
"Sep 08, 2025 - Mar 14, 2026",BROAD MATCH CAMPAIGN,306896079483800,Broad Keyword,284907010614606,hair growth oil,BROAD,castor oil for hair growth,USD,485,4,0.008247422680412371,0.895,3.58,1,11.99,1,3.34916,3.58,0.0,2025-09-08,0.29858215179316094,0.25
"Feb 08, 2026 - Mar 19, 2026",Auto Campaign 1 Signal Capture,468170906203317,Ad Group - Signal Capture,297953927298564,close-match,TARGETING_EXPRESSION_PREDEFINED,banana oil for hair growth,USD,33,1,0.030303030303030304,1.25,1.25,0,0.0,0,0.0,0.0,0.0,2026-02-08,0.0,0.0
"Sep 09, 2025 - Jan 22, 2026",BROAD MATCH CAMPAIGN,306896079483800,Broad Keyword,284907010614606,hair growth,BROAD,toddler hair growth products,USD,123,1,0.008130081300813009,0.52,0.52,0,0.0,0,0.0,0.0,0.0,2025-09-09,0.0,0.0
"Dec 03, 2025 - Dec 03, 2025",Auto Campaign 1 Signal Capture,468170906203317,Ad Group - Signal Capture,297953927298564,loose-match,TARGETING_EXPRESSION_PREDEFINED,restorative hair oil for edges black women,USD,1,1,1.0,0.5,0.5,0,0.0,0,0.0,0.0,0.0,2025-12-03,0.0,0.0
