search_term,impressions,clicks,spend,sales,purchases,units_sold,ctr,cvr,cpc,acos,roas
0,138,1,0.75,0.0,0,0,0.007246376811594203,0.0,0.75,0.0,0.0
10 & 1 hair growth oil,13,1,0.9,0.0,0,0,0.07692307692307693,0.0,0.9,0.0,0.0
10 in 1 hair growth oil,90,1,0.68,0.0,0,0,0.011111111111111112,0.0,0.68,0.0,0.0
100 0/0 unrefined batana oil,1,1,0.8,0.0,0,0,1.0,0.0,0.8,0.0,0.0
100 batana oil,59,1,0.75,0.0,0,0,0.01694915254237288,0.0,0.75,0.0,0.0
100 percent organic batana oil,2,1,1.5,0.0,0,0,0.5,0.0,1.5,0.0,0.0
100 percent pure batana oil,4,1,2.78,0.0,0,0,0.25,0.0,2.78,0.0,0.0
100 percent pure raw unrefined batana oil organic from homduras,1,1,0.74,0.0,0,0,1.0,0.0,0.74,0.0,0.0
100 percent raw batana with no other ingredients,1,1,0.85,19.99,1,1,1.0,1.0,0.85,0.04252126063031516,23.517647058823528
100 percent unrefined botana oil hair growth,1,1,1.35,0.0,0,0,1.0,0.0,1.35,0.0,0.0
100% batana oil,56,2,4.2,0.0,0,0,0.03571428571428571,0.0,2.1,0.0,0.0
100% batana oil for hair growth,4,1,1.4,0.0,0,0,0.25,0.0,1.4,0.0,0.0
100% batana oil made in honduras,13,1,0.75,0.0,0,0,0.07692307692307693,0.0,0.75,0.0,0.0
100% batana oil raw,4,1,0.8,0.0,0,0,0.25,0.0,0.8,0.0,0.0
100% natural raw batana oil for hair growth,3,1,1.58,0.0,0,0,0.3333333333333333,0.0,1.58,0.0,0.0
100% pure batana oil grease for hair growth dr sebi,1,1,0.99,0.0,0,0,1.0,0.0,0.99,0.0,0.0
100% raw batana oil,8,1,1.8,0.0,0,0,0.125,0.0,1.8,0.0,0.0
100% raw batana oil paste,86,1,1.08,0.0,0,0,0.011627906976744186,0.0,1.08,0.0,0.0
100% raw botana oil hair growth,2,1,0.65,0.0,0,0,0.5,0.0,0.65,0.0,0.0
100% unrefined batana oil for hair growth,5,1,0.92,0.0,0,0,0.2,0.0,0.92,0.0,0.0
27 pieces human hair quick weave pixie,7,1,0.9,0.0,0,0,0.14285714285714285,0.0,0.9,0.0,0.0
4 girls and a mom oil,1,1,0.75,0.0,0,0,1.0,0.0,0.75,0.0,0.0
4c hair growth oil,53,1,1.12,0.0,0,0,0.018867924528301886,0.0,1.12,0.0,0.0
4c hair moisturizer,303,10,5.83,11.99,1,1,0.033003300330033,0.1,0.583,0.4862385321100917,2.056603773584906
4c natural hair care products,1,1,0.6,0.0,0,0,1.0,0.0,0.6,0.0,0.0
7 oils for hair growth,74,1,0.9,0.0,0,0,0.013513513513513514,0.0,0.9,0.0,0.0
B000142VNE,5,2,0.9,0.0,0,0,0.4,0.0,0.45,0.0,0.0
B00028O63M,4,1,0.5,0.0,0,0,0.25,0.0,0.5,0.0,0.0
B0009R5CMK,2,1,0.5,0.0,0,0,0.5,0.0,0.5,0.0,0.0
B000GGPK0I,1051,9,4.51,0.0,0,0,0.008563273073263558,0.0,0.5011111111111111,0.0,0.0
B000JWM7E6,582,5,2.3,0.0,0,0,0.00859106529209622,0.0,0.45999999999999996,0.0,0.0
B000NEE8ZQ,24,1,0.49,11.99,1,1,0.041666666666666664,1.0,0.49,0.0408673894912427,24.46938775510204
B000NHJKTW,58,1,0.42,0.0,0,0,0.017241379310344827,0.0,0.42,0.0,0.0
B000R93I76,72,1,0.8,0.0,0,0,0.013888888888888888,0.0,0.8,0.0,0.0
B000T7AIW4,40,1,0.3,16.99,1,1,0.025,1.0,0.3,0.017657445556209538,56.63333333333333
B000TF779I,712,3,1.15,0.0,0,0,0.004213483146067416,0.0,0.3833333333333333,0.0,0.0
B000V8MTIC,2911,36,19.630000000000003,11.99,1,1,0.012366884232222604,0.027777777777777776,0.5452777777777779,1.6371976647206006,0.6107997962302597
B000XI8Z5Q,148,1,0.4,0.0,0,0,0.006756756756756757,0.0,0.4,0.0,0.0
B000ZNWZ78,3,1,0.5,0.0,0,0,0.3333333333333333,0.0,0.5,0.0,0.0
B000ZZQMCK,30,1,0.35,0.0,0,0,0.03333333333333333,0.0,0.35,0.0,0.0
B001797W40,169,2,1.7,0.0,0,0,0.011834319526627219,0.0,0.85,0.0,0.0
B001RVKB50,158,1,0.6,0.0,0,0,0.006329113924050633,0.0,0.6,0.0,0.0
B002BWYROA,61,1,0.15,0.0,0,0,0.01639344262295082,0.0,0.15,0.0,0.0
B002JUZEVO,23,1,0.57,0.0,0,0,0.043478260869565216,0.0,0.57,0.0,0.0
B002US06CW,26,1,0.35,0.0,0,0,0.038461538461538464,0.0,0.35,0.0,0.0
B00329TN3Q,56,2,1.0,0.0,0,0,0.03571428571428571,0.0,0.5,0.0,0.0
B003RQ226Y,644,7,4.35,9.99,1,1,0.010869565217391304,0.14285714285714285,0.6214285714285713,0.4354354354354354,2.2965517241379314
B003ZCU14A,27,1,0.41,0.0,0,0,0.037037037037037035,0.0,0.41,0.0,0.0
B00449OE0K,7,1,0.6,0.0,0,0,0.14285714285714285,0.0,0.6,0.0,0.0
B004NMR6TY,72,2,1.0,0.0,0,0,0.027777777777777776,0.0,0.5,0.0,0.0
B004O9FBCK,12,2,1.15,0.0,0,0,0.16666666666666666,0.0,0.575,0.0,0.0
B004TSMN7M,28,1,0.4,0.0,0,0,0.03571428571428571,0.0,0.4,0.0,0.0
B004YRUYE2,92,1,0.8,0.0,0,0,0.010869565217391304,0.0,0.8,0.0,0.0
B005B0XD9O,35,1,0.36,0.0,0,0,0.02857142857142857,0.0,0.36,0.0,0.0
B005DI4ZJQ,376,2,0.8500000000000001,0.0,0,0,0.005319148936170213,0.0,0.42500000000000004,0.0,0.0
B005H7I5E4,209,2,2.25,0.0,0,0,0.009569377990430622,0.0,1.125,0.0,0.0
B005IUGWD6,476,3,1.19,0.0,0,0,0.0063025210084033615,0.0,0.39666666666666667,0.0,0.0
B005TVX7UK,29,2,0.43,0.0,0,0,0.06896551724137931,0.0,0.215,0.0,0.0
B00692Q9IU,279,4,1.51,0.0,0,0,0.014336917562724014,0.0,0.3775,0.0,0.0
B006FJPKT6,120,1,0.65,16.99,1,1,0.008333333333333333,1.0,0.65,0.038257798705120666,26.138461538461534
B006J44BSI,15,1,0.4,0.0,0,0,0.06666666666666667,0.0,0.4,0.0,0.0
B007CLP7MQ,35,1,0.18,0.0,0,0,0.02857142857142857,0.0,0.18,0.0,0.0
B0083H8ASG,497,2,1.05,0.0,0,0,0.004024144869215292,0.0,0.525,0.0,0.0
B0094KPK70,25,2,1.03,0.0,0,0,0.08,0.0,0.515,0.0,0.0
B00BGL5AIE,9,1,0.5,0.0,0,0,0.1111111111111111,0.0,0.5,0.0,0.0
B00E3B1SVM,69,1,0.57,0.0,0,0,0.014492753623188406,0.0,0.57,0.0,0.0
B00E3B1ZPG,83,3,1.49,0.0,0,0,0.03614457831325301,0.0,0.49666666666666665,0.0,0.0
B00F54IZAI,46,1,0.51,0.0,0,0,0.021739130434782608,0.0,0.51,0.0,0.0
B00FEMDPWY,48,2,0.95,0.0,0,0,0.041666666666666664,0.0,0.475,0.0,0.0
B00GMOY9HI,3,1,0.5,67.96,1,4,0.3333333333333333,1.0,0.5,0.007357268981753973,135.92
B00HDOZE5C,47,1,0.45,0.0,0,0,0.02127659574468085,0.0,0.45,0.0,0.0
B00HZKIILQ,36,1,0.55,0.0,0,0,0.027777777777777776,0.0,0.55,0.0,0.0
B00ICAGF22,484,1,0.29,0.0,0,0,0.002066115702479339,0.0,0.29,0.0,0.0
B00IDA3V96,77,1,0.5,0.0,0,0,0.012987012987012988,0.0,0.5,0.0,0.0
B00IUBLJPG,96,1,0.4,0.0,0,0,0.010416666666666666,0.0,0.4,0.0,0.0
B00J5RQ968,1041,13,7.41,0.0,0,0,0.012487992315081652,0.0,0.5700000000000001,0.0,0.0
